Student_Names,Math,Physics,Chemistry,Grade,Comment,Roll No.
Donald Contreras,76,84,54,B+,Good Pursuance,524613
Joseph Horton,91,75,78,A,Very Good Achivement,561635
Savannah Burns MD,64,98,20,C,Below Average Achivement,560985
William Carter,15,95,32,D,Poor Pursuance,535126
John Rodriguez,86,86,66,B+,Good Pursuance,559410
Natalie Nash,18,41,11,F,Failed,564296
Ronald Ellison,86,50,38,C,Below Average Achivement,580403
Robert Perez,14,55,19,F,Failed,580380
Marilyn Curry,100,38,14,D,Poor Pursuance,523556
Katherine Lambert,29,51,50,D,Poor Pursuance,527497
Timothy Torres,19,25,25,F,Failed,582730
Rachel Price,30,45,60,D,Poor Pursuance,527744
Elaine Wright,30,31,53,D,Poor Pursuance,549732
Shannon Anderson,31,89,96,B+,Good Pursuance,546564
Jordan Watkins,55,33,79,C,Below Average Achivement,554410
Angela Newman,84,62,72,B+,Good Pursuance,596761
Mike Parsons,72,58,64,B,Average Performance,566223
Edward Holt,57,31,16,D,Poor Pursuance,541171
Brandi Lewis,52,18,100,C,Below Average Achivement,546803
Jasmine English,68,38,55,C,Below Average Achivement,543048
Christopher Gross,40,55,75,C,Below Average Achivement,574175
Matthew Garcia,69,18,48,D,Poor Pursuance,532130
Andrea Edwards,30,38,100,C,Below Average Achivement,574914
Brittany Howard,76,13,32,D,Poor Pursuance,553405
Joseph Morgan,77,56,39,C,Below Average Achivement,581182
Christine Taylor,29,86,90,B,Average Performance,574222
Justin Thompson,16,28,98,D,Poor Pursuance,557489
Megan Tate,19,75,20,D,Poor Pursuance,528473
Robert Palmer,63,35,58,C,Below Average Achivement,513448
Nicholas Figueroa DVM,21,23,76,D,Poor Pursuance,533597
Jerry Leon,96,85,99,A+,Excellent Performance,573014
Patrick Avery,39,96,55,B,Average Performance,566411
Anthony Brooks,47,15,61,D,Poor Pursuance,593020
Thomas Dunlap,70,55,46,C,Below Average Achivement,526254
Brittany Miller,27,20,65,D,Poor Pursuance,551701
Phillip Ray,39,91,60,B,Average Performance,504953
Thomas Moody,86,68,56,B,Average Performance,596580
Karen Bryant,18,13,29,F,Failed,578275
Jaime Huber,81,74,30,B,Average Performance,508683
Teresa Larsen,73,18,37,D,Poor Pursuance,530635
Paul Cordova,41,55,67,C,Below Average Achivement,512471
James Hill,19,82,89,B,Average Performance,523601
Zachary Garcia,56,74,93,B+,Good Pursuance,531733
Ashley Chen,92,42,38,C,Below Average Achivement,575293
Karen Wolfe,20,40,78,D,Poor Pursuance,574866
Kimberly Fitzgerald,93,33,37,C,Below Average Achivement,569547
Rebecca Blair,69,58,28,C,Below Average Achivement,520235
John Olsen,75,16,47,D,Poor Pursuance,541405
Mark Miller,17,93,63,C,Below Average Achivement,547468
Alyssa Douglas,74,100,52,B+,Good Pursuance,597470
Jeffrey Vargas,63,38,45,D,Poor Pursuance,530762
Kerry Thomas,38,47,98,B,Average Performance,592817
Patricia Wall,65,13,12,F,Failed,560249
James Johnson,15,87,64,C,Below Average Achivement,503781
Michael Black,47,38,32,D,Poor Pursuance,585923
Spencer Stout,26,61,66,C,Below Average Achivement,596213
Dr. Erica Ford,28,52,45,D,Poor Pursuance,535329
Adam Perez,56,59,58,C,Below Average Achivement,550501
Kevin Pacheco,76,83,86,A,Very Good Achivement,584700
Tina Mullins,73,87,59,B+,Good Pursuance,503275
Brenda Zuniga,38,16,97,D,Poor Pursuance,513181
Keith Parker,20,37,56,D,Poor Pursuance,527426
Michele Lopez,88,95,58,B+,Good Pursuance,541060
Miss Alicia Goodwin,17,14,34,F,Failed,537295
Dr. Paul Morris,22,79,58,C,Below Average Achivement,527718
Courtney Carlson,80,77,26,B,Average Performance,574782
David Perez,63,33,48,D,Poor Pursuance,561165
Anthony Russell,34,91,14,D,Poor Pursuance,536828
Rebecca Sheppard,55,27,22,D,Poor Pursuance,550723
Tammy Macias,100,27,87,B+,Good Pursuance,573006
Monica Miranda,38,37,22,F,Failed,551660
Anthony Chavez,12,82,79,C,Below Average Achivement,532820
John Garcia,95,47,54,B,Average Performance,562473
Alexis Jones,52,92,44,B,Average Performance,530841
Mary Barron,46,49,95,B,Average Performance,517591
Mr. John Clark,29,51,92,C,Below Average Achivement,506427
Michael Ferguson,79,12,68,C,Below Average Achivement,589024
Lauren Schultz,76,45,60,C,Below Average Achivement,523822
Kristina Frey,75,84,55,B+,Good Pursuance,557713
Lori Ross,36,61,36,D,Poor Pursuance,553422
Erin Giles,34,13,52,D,Poor Pursuance,542423
Kelly Campbell,65,62,61,B,Average Performance,577131
Ryan Reed,63,75,56,B,Average Performance,516723
Brian Booth,80,61,95,B+,Good Pursuance,523946
Derrick Hancock,23,26,24,F,Failed,541904
Shannon Moreno,40,22,88,D,Poor Pursuance,542613
Jodi Saunders,58,87,37,C,Below Average Achivement,523899
Elizabeth Cochran,21,49,93,C,Below Average Achivement,520399
Dennis Zavala,84,31,82,B,Average Performance,510501
Mary Hall,11,58,82,D,Poor Pursuance,553709
Carol Thompson,55,41,40,D,Poor Pursuance,513998
Caitlin Coleman,36,27,73,D,Poor Pursuance,555881
David Gray,48,54,29,D,Poor Pursuance,526942
David Hernandez,95,12,44,D,Poor Pursuance,554087
Sandra Macdonald,54,35,16,D,Poor Pursuance,590841
Laurie Mercer,32,34,87,C,Below Average Achivement,599023
Kimberly Davis,53,85,51,B,Average Performance,576132
Cameron Cardenas,80,99,30,B,Average Performance,536841
Christina Edwards,89,43,59,B,Average Performance,512411
Sharon Young,78,22,49,D,Poor Pursuance,516142
Phillip Moyer,34,30,76,D,Poor Pursuance,587439
Andrew Arias,75,22,55,D,Poor Pursuance,566129
Jonathan Wilson,75,21,29,D,Poor Pursuance,511482
Jaime Robinson,13,11,34,F,Failed,505068
Shannon Hunter,28,37,71,D,Poor Pursuance,538092
Amy Pena,61,13,78,D,Poor Pursuance,539597
Thomas Morris,49,87,58,B,Average Performance,565140
Erica Young,39,74,50,C,Below Average Achivement,549307
William Hernandez,78,92,23,B,Average Performance,524919
Todd Snow,38,70,34,D,Poor Pursuance,516944
Morgan Allen,85,96,87,A,Very Good Achivement,566723
Samuel Gomez,33,42,93,C,Below Average Achivement,547674
Logan Pugh,19,79,50,D,Poor Pursuance,583269
Laura Stewart,91,67,28,B,Average Performance,520494
Paul Sullivan,93,57,55,B,Average Performance,580321
Shelly Carlson,83,44,88,B+,Good Pursuance,554885
Charles Bernard,71,33,30,D,Poor Pursuance,570580
Timothy Dixon,59,22,60,D,Poor Pursuance,549572
Jason Ramos,73,34,61,C,Below Average Achivement,591571
Derrick Mitchell,99,26,91,B+,Good Pursuance,568240
Alicia Bush,84,65,80,B+,Good Pursuance,506758
Christine Robinson,14,50,94,C,Below Average Achivement,551829
Daniel Reilly,87,92,85,A,Very Good Achivement,572217
Jennifer Whitaker,41,67,17,D,Poor Pursuance,571283
Charles James,61,72,17,D,Poor Pursuance,502221
Zachary Ramirez,75,76,91,B+,Good Pursuance,514040
Deanna Ware,43,13,41,F,Failed,542733
Colton Wise,49,78,46,C,Below Average Achivement,527780
Ariel Castro,70,78,13,C,Below Average Achivement,562543
Kristin Jones,16,32,63,D,Poor Pursuance,521205
Lisa Carpenter,73,84,25,C,Below Average Achivement,590160
Emily Mullen,49,76,77,B,Average Performance,535844
Nathan Robinson,82,41,44,C,Below Average Achivement,526589
Brandon Berry,69,44,95,B,Average Performance,522499
Stephen Mitchell,25,79,51,C,Below Average Achivement,507740
Gina Cochran,46,11,34,F,Failed,580910
Mr. Daniel Smith,14,47,14,F,Failed,503562
Jamie Barron,23,58,95,C,Below Average Achivement,543788
Jacob Jones,64,12,72,D,Poor Pursuance,555918
Jason Nichols,51,60,79,B,Average Performance,536852
Daniel Randolph,50,90,86,B+,Good Pursuance,523484
Vincent Taylor,89,19,28,D,Poor Pursuance,564538
Mr. Jonathon Ross,80,48,50,C,Below Average Achivement,540112
Timothy Duran,93,89,97,A+,Excellent Performance,502291
Mary Jordan,40,73,71,B,Average Performance,517754
Jonathan Shields,79,60,86,B+,Good Pursuance,540733
Richard Forbes,73,65,54,B,Average Performance,523332
Katherine Brown,74,49,79,B,Average Performance,575329
Timothy Riley,92,44,31,C,Below Average Achivement,535081
James Floyd,88,17,93,B,Average Performance,570727
Donna Hayes,17,87,56,C,Below Average Achivement,502107
Meghan Gonzalez,23,91,80,B,Average Performance,571786
Julia Harper,65,72,21,C,Below Average Achivement,523210
Andrew Oconnor,96,58,95,A,Very Good Achivement,526360
Molly Palmer,74,71,21,C,Below Average Achivement,565119
Diana Luna,19,69,83,C,Below Average Achivement,571145
Mr. Andrew Mcmahon,47,41,24,D,Poor Pursuance,530853
Amy Edwards,48,59,17,D,Poor Pursuance,581832
Joshua Zhang,54,77,54,B,Average Performance,579357
Eric Wood,90,98,81,A,Very Good Achivement,571770
Hunter Cunningham,80,20,33,D,Poor Pursuance,564170
Lindsay Hunt,40,25,93,C,Below Average Achivement,524087
Trevor Tate,91,64,82,B+,Good Pursuance,594932
Rebekah Guerrero,63,95,100,A,Very Good Achivement,560076
Michelle Payne,88,38,66,B,Average Performance,540124
Jesse Rubio,92,35,72,B,Average Performance,538050
Angela Flores,59,49,22,D,Poor Pursuance,570721
Troy Anderson DDS,64,30,53,D,Poor Pursuance,568612
Sabrina Henderson,49,92,73,B+,Good Pursuance,504903
Jason Monroe,57,48,21,D,Poor Pursuance,521393
Dylan James,42,10,32,F,Failed,567553
Valerie Tucker,69,51,93,B+,Good Pursuance,535609
Jennifer Mendoza,85,10,41,D,Poor Pursuance,583822
Megan Casey,84,73,37,B,Average Performance,578943
Thomas Morse,20,47,46,D,Poor Pursuance,559732
Eric Rogers,12,67,21,D,Poor Pursuance,548365
Lisa Schmidt,69,35,89,B,Average Performance,542647
Katherine Morton,10,94,74,C,Below Average Achivement,525501
Heather Fitzpatrick,53,41,74,C,Below Average Achivement,502677
William Walters,82,31,73,B,Average Performance,535289
Annette Smith,89,51,50,B,Average Performance,524448
Justin Curtis,23,51,10,F,Failed,591056
Caitlin Wood,85,63,18,C,Below Average Achivement,563931
Kristin Davis,78,84,86,A,Very Good Achivement,544803
Joseph Williams,38,75,54,C,Below Average Achivement,517819
Nicole Lewis,17,14,10,F,Failed,590570
Alex Gordon,93,66,36,B,Average Performance,579565
Molly Rice,54,73,47,C,Below Average Achivement,515464
Colleen Johnson,41,48,98,B,Average Performance,519947
Thomas Carr,62,32,83,C,Below Average Achivement,576821
Brian Craig,63,84,25,C,Below Average Achivement,524470
Lori Harris,48,19,36,D,Poor Pursuance,514680
Carla Stark,88,65,30,B,Average Performance,572755
Michelle Patterson,90,38,20,D,Poor Pursuance,574845
Sandra Stevens,52,74,15,D,Poor Pursuance,587743
Jerome Martin MD,60,73,96,B+,Good Pursuance,585847
Jasmine Rodgers,18,98,26,D,Poor Pursuance,518739
Lori Bailey,55,35,18,D,Poor Pursuance,503252
John Green,23,27,54,D,Poor Pursuance,522815
Timothy Johnson,29,98,52,C,Below Average Achivement,572960
Karen Flowers,92,21,32,D,Poor Pursuance,556727
Denise Lewis,47,23,33,D,Poor Pursuance,599818
Alexandra Patterson,69,26,73,C,Below Average Achivement,537753
Chris White,87,21,18,D,Poor Pursuance,586398
Frank Barajas,91,72,61,B+,Good Pursuance,520352
Christian Shaw,98,94,55,A,Very Good Achivement,538713
Richard Shields,82,60,10,D,Poor Pursuance,561056
Robert Allen,80,78,75,B+,Good Pursuance,585463
Kendra Miller,22,28,80,D,Poor Pursuance,599442
Allison Mcdonald,88,53,45,B,Average Performance,581077
Christian Rodriguez,97,24,25,D,Poor Pursuance,531833
Dr. Kristen Mcintosh MD,48,91,11,D,Poor Pursuance,541245
